date,forecast
2025-02-01,-1.2229115577100949
2025-03-01,-2.9482705281766335
2025-04-01,-5.148595501240924
2025-05-01,-4.912899825054864
2025-06-01,-5.870376613596774
2025-07-01,-6.190140502044809
